"method","lambda","fold","bandwidth","training_loo_rmse","validation_rmse_raw","validation_rmse_oracle"
"kernel",1e-08,3,0.006,0.0488441850800177,0.0681208493242001,0.0353413422241016
"local_linear",1e-08,3,0.008,0.0423124145143247,0.0617714495089232,0.0212994562287001
"kernel",1e-08,4,0.008,0.0522713409737745,0.0669100025201739,0.0350606617560929
"local_linear",1e-08,4,0.01,0.044253512094016,0.0617653591700188,0.0254796013275966
"kernel",1e-08,5,0.006,0.0501900565381356,0.0643415802694649,0.0377628152589866
"local_linear",1e-08,5,0.01,0.0437203442432683,0.0587109432429005,0.0221941547896995
"kernel",1e-07,1,0.006,0.0446601265629934,0.0757700400364255,0.0455059919151714
"local_linear",1e-07,1,0.008,0.0407548888947578,0.0681724098698974,0.0341286448897804
"kernel",1e-07,2,0.006,0.0456819423813085,0.069127461067162,0.0391063115678163
"local_linear",1e-07,2,0.01,0.0411973041717896,0.0673603742636814,0.035005217204263
"kernel",1e-07,3,0.006,0.0452523850227967,0.0765924816251214,0.0504712151678868
"local_linear",1e-07,3,0.008,0.0400362523925811,0.0724131776890813,0.0434134263168818
"kernel",1e-07,4,0.008,0.0485683045918991,0.0778005471910248,0.0508193180436244
"local_linear",1e-07,4,0.01,0.0416067009843467,0.0735249350971525,0.0456410067134918
"kernel",1e-07,5,0.006,0.0461499092213882,0.0720614192338901,0.0480539087867736
"local_linear",1e-07,5,0.01,0.0408120697916247,0.0678239994831264,0.0382600035758173
"kernel",1e-06,1,0.006,0.0402583789525395,0.111459938211343,0.0934366474764322
"local_linear",1e-06,1,0.008,0.0377331988200132,0.107152377043151,0.0890676802552802
"kernel",1e-06,2,0.006,0.0409963694900631,0.109346737612038,0.0917186933319591
"local_linear",1e-06,2,0.01,0.0379879366648072,0.108708413427868,0.0903744792928546
"kernel",1e-06,3,0.008,0.0406248801754617,0.121163358676513,0.105789585699125
"local_linear",1e-06,3,0.01,0.0368617842709127,0.119444013471419,0.103383152120828
"kernel",1e-06,4,0.008,0.0433568386695982,0.126551012651049,0.10968936514947
"local_linear",1e-06,4,0.01,0.038447359320207,0.124670744393804,0.108112253114999
"kernel",1e-06,5,0.006,0.04152555462668,0.112709217431043,0.0961863443911438
"local_linear",1e-06,5,0.008,0.0379699370598671,0.111004631907705,0.092942309404804
"kernel",1e-05,1,0.006,0.0412340733846958,0.184602959913455,0.173535854001474
"local_linear",1e-05,1,0.015,0.0386739278870927,0.182605990239391,0.171525008988917
"kernel",1e-05,2,0.006,0.0405614165111056,0.186087845653539,0.174047619404815
"local_linear",1e-05,2,0.015,0.0370641527418809,0.185471420365219,0.172937408096795
"kernel",1e-05,3,0.008,0.0400097989929214,0.195691989068187,0.186697666390576
"local_linear",1e-05,3,0.015,0.0363005493492001,0.194928072587785,0.1856272841348
"kernel",1e-05,4,0.008,0.0412890432182434,0.203985940634887,0.194021296010065
"local_linear",1e-05,4,0.015,0.037384027663225,0.20227469877204,0.192839474991173
"kernel",1e-05,5,0.008,0.0416513733397089,0.183074213912474,0.170995109638111
"local_linear",1e-05,5,0.015,0.0376086635769243,0.182130541866038,0.169170291162023
"kernel",1e-04,1,0.006,0.0400321578629726,0.272903214048046,0.264173314286367
"local_linear",1e-04,1,0.015,0.0379010253248945,0.271918700938849,0.262989912994285
"kernel",1e-04,2,0.008,0.03962199769392,0.256705044830666,0.246438244760975
"local_linear",1e-04,2,0.015,0.0368875043227851,0.256312334776972,0.245772975059763
"kernel",1e-04,3,0.008,0.0390819929852169,0.279883646871694,0.271656646788434
"local_linear",1e-04,3,0.015,0.0360850828773661,0.279546913241972,0.271119644826569
"kernel",1e-04,4,0.01,0.0394220336971891,0.253508233649982,0.246605624901067
"local_linear",1e-04,4,0.015,0.0366054759047053,0.252097734071416,0.245617746194407
"kernel",1e-04,5,0.008,0.040523251958109,0.256304385325583,0.246839754160926
"local_linear",1e-04,5,0.015,0.0373520726616746,0.255746563518579,0.245717299901294
