"lambda","fold","iterations","converged","final_fidelity"
1e-12,1,15,FALSE,9.79954578526836e-13
1e-12,2,15,FALSE,6.06124436638539e-13
1e-12,3,15,FALSE,6.2760420066592e-13
1e-12,4,15,FALSE,4.26754694679594e-13
1e-12,5,15,FALSE,2.73195667304328e-12
1.38949549437314e-11,1,15,FALSE,1.42714237118915e-11
1.38949549437314e-11,2,15,FALSE,1.23770639072093e-11
1.38949549437314e-11,3,15,FALSE,1.7311684061272e-11
1.38949549437314e-11,4,15,FALSE,1.10710286861510e-11
1.38949549437314e-11,5,15,FALSE,1.39531875551826e-11
1.93069772888325e-10,1,15,FALSE,1.75036632605845e-09
1.93069772888325e-10,2,15,FALSE,1.61535309528579e-09
1.93069772888325e-10,3,15,FALSE,1.77391082410689e-09
1.93069772888325e-10,4,15,FALSE,1.37643404295545e-09
1.93069772888325e-10,5,15,FALSE,1.50191558508607e-09
2.68269579527973e-09,1,15,FALSE,1.905623350721e-07
2.68269579527973e-09,2,15,FALSE,1.94031986437566e-07
2.68269579527973e-09,3,15,FALSE,2.04562587672831e-07
2.68269579527973e-09,4,15,FALSE,1.62100052679697e-07
2.68269579527973e-09,5,15,FALSE,1.72105239090387e-07
3.72759372031494e-08,1,15,FALSE,1.28216455594045e-05
3.72759372031494e-08,2,15,FALSE,1.38385283816118e-05
3.72759372031494e-08,3,15,FALSE,1.42870039780975e-05
3.72759372031494e-08,4,15,FALSE,1.21855307374077e-05
3.72759372031494e-08,5,15,FALSE,1.24354332344725e-05
5.1794746792312e-07,1,15,FALSE,0.000305507447693811
5.1794746792312e-07,2,15,FALSE,0.000326822207905353
5.1794746792312e-07,3,15,FALSE,0.000320162795947528
5.1794746792312e-07,4,15,FALSE,0.000304191295941092
5.1794746792312e-07,5,15,FALSE,0.00032057760318398
7.19685673001151e-06,1,15,FALSE,0.00144798893465028
7.19685673001151e-06,2,15,FALSE,0.00147479280936535
7.19685673001151e-06,3,15,FALSE,0.00139613577624773
7.19685673001151e-06,4,15,FALSE,0.00141544377066432
7.19685673001151e-06,5,5,TRUE,0.00145005550835667
1e-04,1,15,FALSE,0.00975595061977624
1e-04,2,15,FALSE,0.00998574880955608
1e-04,3,15,FALSE,0.0098604060426157
1e-04,4,15,FALSE,0.00987315432161424
1e-04,5,15,FALSE,0.00994217067720345
0.001,1,7,TRUE,0.0893054766770312
0.001,2,7,TRUE,0.0895012609426351
0.001,3,7,TRUE,0.0892361454959581
0.001,4,7,TRUE,0.0896756072641413
0.001,5,7,TRUE,0.088525942863013
0.01,1,9,TRUE,0.495596955614552
0.01,2,9,TRUE,0.494446199603073
0.01,3,9,TRUE,0.493483228639379
0.01,4,9,TRUE,0.495553916872189
0.01,5,9,TRUE,0.486150070360508
